regulator	target	beta.sign.sum	prior
RXRA	HLA-C	10	1
MYPOP	SAA2	-10	0
ELK1	SERPINE2	-10	1
ZNF740	C2orf31	10	1
HHEX	MAP4K1	10	0
HES7	CEBPD	10	0
REL	CCL5	10	1
ELF2	MYB	-10	1
HOXC13	PSCD1	10	0
KLF5	GBP5	10	1
CTCFL	MYB	10	1
ZSCAN10	LIPA	10	0
PPARG	ABCB9	10	1
MXI1	FLJ39739	-10	0
NR6A1	TNF	-10	0
REL	CCL1	10	0
ARNT	KITLG	10	0
EBF1	HSP90AA1	-10	1
BACH1	GCLM	10	1
HES1	EIF3L	10	0
STAT2	CCNA1	10	1
IRF2	IL1R	-10	1
HSF2	SPSB1	-10	1
ESRRG	TNFSF13B	-10	0
HAND2	CX3CL1	10	0
TCF12	THBD	10	1
IRF2	DTX3L	10	1
FOXA3	SOCS2	10	0
TWIST1	IER3	10	0
PPARG	NR2C1	-10	1
IRF9	KIAA1618	10	1
KLF1	TREX1	10	1
ETV7	TMEM51	10	0
ZEB1	NLRP2	10	1
HES2	HLA-C	-10	1
IRF7	TRIM34	10	1
TGIF1	IFNL1	10	1
RORC	ALOX5	10	0
NR1I3	HPSE	10	1
SPZ1	LTB	10	1
PPARG	LYZ	10	1
THRB	TGM2	10	1
ZFX	CD74	-10	1
OVOL1	EDN1	10	0
AHR	DNAPTP6	10	0
NRL	RTP4	10	1
MEF2A	PABPC4	10	0
TEAD3	FLJ39739	10	1
GLIS3	PLA2	10	1
EGR3	TRPC1	-10	1
MLXIPL	CCL3	-10	0
TFAP4	PRF1	10	1
ZEB1	TBK1	-10	0
ARID5B	PTMA	10	1
SOX18	APOD	10	0
ZIC3	NFIL3	-10	1
IRF7	ELF1	10	1
ZFX	TNFRSF10A	-10	1
SOX14	CCL23	-10	0
STAT5B	THBS1	10	1
KLF5	C4orf33	10	1
JUNB	FAM70A	10	1
TCF12	STEAP4	10	1
RFX6	INSIG1	10	1
EGR1	SQLE	-10	1
CTCF	SERPINA3	9	0
MEF2C	TNIP1	9	1
CTCF	XDH	9	1
NFKB1	TNFAIP3	9	1
HOXB3	TNIP1	-9	0
IRF9	TRAFD1	9	1
STAT2	RTP4	9	0
YY2	KRT5	-9	0
TERF2	EHD4	-9	0
RELB	GCH1	9	0
ZNF263	NGFB	9	1
RELB	IL15	9	0
ZNF263	pIgR	9	1
EBF1	LXRB	9	1
ZNF263	ART1	9	1
HES1	IL15	-9	1
YY2	TBX3	-9	0
RELA	TNFAIP6	9	0
NR4A2	RXRA	-9	0
THRB	PTS	-9	1
FOXO1	PARP12	-9	0
YBX1	PLK3	9	0
BACH1	ST6GAL1	-9	1
STAT2	RBCK1	9	1
IRF8	SAMHD1	9	0
THRB	SREBP1	9	1
ETV7	ABCA1	9	0
PROP1	RGS1	-9	0
ELF2	EPAS1	9	1
PROP1	C10orf10	-9	0
RELA	EBI3	9	1
ZIC4	SLC15A3	9	1
DPRX	TAPBP	-9	0
YY2	LTF	-9	1
FOXO1	IFI35	-9	0
PROP1	TFEC	9	0
PROP1	RASSF4	-9	0
HOXC13	ADAM19	9	0
PROP1	PTPN1	-9	0
PPARD	MYD88	9	0
HSF2	RBCK1	-9	0
NFATC3	IFITM2	-9	0
HOXB3	BLNK	9	0
IRF1	CLEC4E	9	0
FOXO3	LAMP3	9	0
HOXB6	ADAMDEC1	-9	0
TFAP4	IRF4	-9	1
MAFG	MTHFR	9	0
TBP	F3	9	1
NKX3-1	IL13	-9	0
ARID3C	AKR1C1	9	0
MAFG	IL10	9	1
STAT5A	SAMHD1	9	0
REL	IL6	9	0
NR4A2	ARG2	9	0
FOXO3	BLNK	-9	1
ESR1	PRKACA	9	1
IRF1	SERPINB1	9	0
THRB	FASN	9	1
RELB	AIM2	9	0
MAFG	PLAU	9	0
TEF	LTB	-9	0
IRF7	HESX1	9	0
TERF2	IFI30	-9	0
STAT2	BTN3A3	9	1
ARNT	IL1RN	9	0
ZIC4	ADM	9	1
PROP1	ASPH	9	0
MLXIPL	MASTL	-9	0
MLXIPL	IFIT1	-9	0
ETV4	PIM1	9	0
HSF2	TREX1	-9	0
ZFX	LMO2	-9	1
PROP1	EGR1	9	0
THAP1	CSF1	9	1
ARNTL2	BCL2A1	-9	0
TFAP4	HMGN1	-9	0
HOXD10	SOCS2	-9	0
MLXIPL	IFNB1	-9	0
KLF5	CCL1	9	0
ESR1	BTN3A3	-9	0
ARID3C	VIM	-9	0
HIC2	SERPINA1	9	0
MBD2	MT1F	-9	1
SOX15	ADORA1	9	0
ZBTB7A	LGALS3	9	1
IRF8	GCLC	9	0
ZFX	SLC11A2	-9	1
ZEB1	SH3BGRL	-9	1
ELF2	AKT3	-9	1
RXRA	DDIT4	9	0
ZIC4	CEBPD	9	1
HOXB3	IER2	-9	0
SMARCC1	IL1A	9	1
CEBPE	PABPC4	9	0
REL	ABCB9	-9	1
FOXO6	ZBP1	9	0
HSF4	SELS	9	0
ZIC1	MBP	-9	1
RELB	CXCL10	9	0
EBF1	RARG	9	1
NRL	HEG1	9	1
MAFG	CDKN1A	-9	0
STAT6	PPARA	-9	1
NFATC3	ERBB2	-9	1
EMX1	LGMN	-9	0
MEIS2	CCL23	9	0
ZFX	CCL4	-9	1
PPARG	EGR1	9	0
RELB	IFNL1	9	1
KLF3	GRIN1	9	1
RXRA	CX3CL1	9	1
ZNF274	MAX	9	1
KLF7	ABCC6	-9	0
ARID3C	UGCGL1	-9	0
ZNF524	TNFRSF4	9	1
SPZ1	IGFBP2	9	1
PPARD	CD7	9	1
NFE2L2	GCLM	9	1
ZNF202	GSTP1	9	1
MYC	OXTR	9	1
TFCP2	IKBKB	9	1
HNF1A	CLEC4E	9	1
GLIS3	RAB27A	-9	1
SOX14	MYOZ1	9	0
KLF5	RASGEF1B	9	1
ZFX	ABCB4	-9	1
ELF1	IL1RN	-9	1
THRB	TREX1	9	1
NFKB2	CXCL3	9	1
FOXO3	CSDA	9	1
EGR2	CXCL3	-9	1
HNF4A	AMACR	9	1
YY1	ASS1	-9	1
CEBPB	DEFB1	9	1
ZBTB7A	KITLG	9	1
TFAP4	NKAPL	9	0
ZEB1	PTGS2	-9	1
PLAGL1	AMH	9	1
TP73	HSD17B8	9	0
ELF1	TREM1	-9	1
